date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
2020-03-09,US,,,0,,,iso1:us,,,,21059,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-10,US,,,0,,,iso1:us,,,,24125,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-11,US,,,0,,,iso1:us,1263,37,,16817,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-12,US,,,0,,,iso1:us,1668,43,,24687,,,,,,,,,,403,,,,,,0.0,,,,,,,0,,,6,,0,0,,,0.2,,,,,,,,,,,,,,,
2020-03-13,US,,,0,,,iso1:us,2224,50,3999,35079,,,,,,,,,,542,,,,,,0.1,,1.83,0.83,,,,0,,,7,,0,0,,,0.4,,,,,,,,,,,,,,,
2020-03-14,US,,,0,,,iso1:us,2897,60,5208,46775,,,,,,,,,,673,,,,0.128,,0.1,,1.83,0.12,,,,0,,,10,,0,3,,,0.6,,,,,,,,,,,,,,,
2020-03-15,US,,,0,,,iso1:us,3596,68,6593,59748,,,,,,,,,,699,,,,0.124,,0.1,,1.83,0.1,,,,0,,,8,,0,3,,,0.7,,,,,,,,,,,,,,,
2020-03-16,US,,,0,,,iso1:us,4502,91,9296,84014,,,,,,,,,,906,,,,0.131,,0.1,,1.82,0.1,,,,0,,,23,,0,3,,,1.0,,,,,,,,,,,,,,,
2020-03-17,US,,,0,,,iso1:us,5901,117,14039,118776,,,,,,,,,,1398,,,,0.129,,0.2,,1.81,0.1,,,,0,,,26,,0,3,,,1.4,,,,,,,,,,,,,,,
2020-03-18,US,,,0,,,iso1:us,8339,162,20386,162516,,,,,,,,,,,,,,0.136,,,,1.8,0.1,,,,0,,,45,,0,3,,,,,,,,,,,,,,,,,,
2020-03-19,US,,,0,,,iso1:us,12378,212,27682,215361,,,,,,,,,,3785,,,,0.127,,0.4,,1.79,0.1,,,,0,,,50,,0,3,,,2.8,,,,,,,,,,,,,,,
2020-03-20,US,,,0,,,iso1:us,17992,277,38012,280775,,,,,,,,,,5544,,,,0.122,,0.7,,1.77,0.1,,,,0,,,65,,0,3,,,4.6,,,,,,,,,,,,,,,
2020-03-21,US,,,0,,,iso1:us,24507,360,49651,344438,,,,,,,,,,6515,,,,0.13,,0.9,,1.74,0.1,,,,0,,,83,,0,3,,,6.6,,,,,,,,,,,,,,,
2020-03-22,US,,,0,,,iso1:us,33029,457,61876,405545,,,,,,,,,,8522,,,,0.138,,1.3,,1.72,0.1,,,,3,,,97,,1,3,,,9.4,,,,,,,,,,,,,,,
2020-03-23,US,,,0,,,iso1:us,43459,578,75855,470904,,,,,,,,,,10430,,,,0.147,,1.8,,1.69,0.1,,,,3,,,121,,1,3,,,12.7,,,,,,,,,,,,,,,
2020-03-24,US,,,0,,,iso1:us,53889,784,94288,556433,,,,,,,,,,10430,,,,0.155,,2.3,,1.65,0.1,,,,3,,,206,,1,3,,,15.9,,,,,,,,,,,,,,,
2020-03-25,US,,,0,,,iso1:us,68523,1053,114035,650687,,,,,,,,,,14490,,,,0.161,,2.6,,1.62,0.1,,,,3,,,269,,1,3,,,18.0,,,,,,,,,,,,,,,
2020-03-26,US,,,0,,,iso1:us,85504,1352,137547,756736,,,,,,,,,,16981,,,,0.169,,3.1,,1.58,0.1,,,,3,,,299,,1,3,,,22.0,,,,,,,,,,,,,,,
2020-03-27,US,,,0,,,iso1:us,102828,1769,162263,868814,,,,,,,,,,17324,,,,0.174,,3.6,,1.54,0.1,,,,3,,,417,,1,3,,,25.5,,,,,,,,,,,,,,,
2020-03-28,US,,,0,,,iso1:us,123890,2299,185956,966282,,,,,,,,,,21060,,,,0.18,,4.3,,1.49,0.1,,,,3,,,530,,1,3,,,29.9,,,,,,,,,,,,,,,
2020-03-29,US,,,0,,,iso1:us,142405,2717,208157,1054547,,,,,,,,,,18515,,,,0.184,,4.7,,1.45,0.1,,,,3,,,418,,1,3,,,33.0,,,,,,,,,,,,,,,
2020-03-30,US,,,0,,,iso1:us,163865,3367,233361,1152912,,,,,,,,,,21460,,,,0.188,,5.2,,1.41,0.1,,,,3,,,650,,1,3,,,36.3,,,,,,,,,,,,,,,
2020-03-31,US,,,0,,,iso1:us,188292,4302,263549,1264330,,,,,,,,,,24427,,,,0.193,,5.8,,1.36,0.1,,,,3,,,869,,1,3,,,40.5,,,,,,,,,,,,,,,
2020-04-01,US,,,0,,,iso1:us,215214,5322,296546,1384005,,,,,,,,,,26922,,,,0.199,,6.3,,1.32,0.1,,,,3,,,1029,,1,3,,,44.3,,,,,,,,,,,,,,,
2020-04-02,US,,,0,,,iso1:us,244919,6538,330853,1511182,,,,,,,,,,29705,,,,0.204,,6.9,,1.28,0.1,,,,3,,,1216,,1,3,,,48.1,,,,,,,,,,,,,,,
2020-04-03,US,,,0,,,iso1:us,277234,7928,365705,1645581,,,,,,,,,,32315,,,,0.208,,7.5,,1.25,0.1,,,,3,,,1390,,1,3,,,52.6,,,,,,,,,,,,,,,
2020-04-04,US,,,0,,,iso1:us,312260,9484,396398,1762109,,,,,,,,,,35026,,,,0.209,,8.1,,1.21,0.1,,,,3,,,1556,,1,3,,,56.8,,,,,,,,,,,,,,,
2020-04-05,US,,,0,,,iso1:us,337834,10852,425180,1871555,,,,,,,,,,25574,,,,0.21,,8.4,,1.18,0.1,,,,3,,,1368,,1,3,,,59.0,,,,,,,,,,,,,,,
2020-04-06,US,,,0,,,iso1:us,368747,12377,455868,1983359,,,,,,,,,,30913,,,,0.211,,8.8,,1.15,0.1,,,,3,,,1525,,1,3,,,61.8,,,,,,,,,,,,,,,
2020-04-07,US,,,0,,,iso1:us,399075,14611,490250,2128365,,,,,,,,,,30328,,,,0.208,,9.1,,1.12,0.1,,,,3,,,2234,,1,3,,,63.6,,,,,,,,,,,,,,,
2020-04-08,US,,,0,,,iso1:us,430759,16696,525094,2262195,,,,,,,,,,30526,,,,0.207,,9.2,,1.1,0.1,,,,3,,,2094,,1,3,,,64.7,,,,,,,,,,,,,,,
2020-04-09,US,,,0,,,iso1:us,465321,18816,561033,2400266,,,,,,,,,,34489,,,,0.206,,9.4,,1.08,0.1,,,,3,,,2120,,1,3,,,66.1,,,,,,,,,,,,,,,
2020-04-10,US,,,0,,,iso1:us,498758,21079,596467,2536380,,,,,,,,,,33437,,,,0.206,,9.5,,1.06,0.1,,,,3,,,2263,,1,3,,,66.5,,,,,,,,,,,,,,,
2020-04-11,US,,,0,,,iso1:us,530374,23162,633409,2709244,,,,,,,,,,31616,,,,0.2,,9.3,,1.04,0.1,,,,2,,,2083,,1,3,,,65.4,,,,,,,,,,,,,,,
2020-04-12,US,,,0,,,iso1:us,557482,24843,657152,2797130,,,,,,,,,,27266,,,,0.2,,9.4,,1.03,0.1,,,,2,,,1681,,1,3,,,65.9,,,,,,,,,,,,,,,
2020-04-13,US,,,0,,,iso1:us,583248,26606,680759,2887255,,,,,,,,,,25766,,,,0.199,,9.2,,1.02,0.1,,,,2,,,1763,,1,3,,,64.4,,,,,,,,,,,,,,,
2020-04-14,US,,,0,,,iso1:us,609937,29311,711111,3019069,,,,,,,,,,26689,,,,0.199,,9.0,,1.01,0.1,,,,2,,,2705,,1,3,,,63.3,,,,,,,,,,,,,,,
2020-04-15,US,,,0,,,iso1:us,639941,32063,744926,3157273,,,,,,,,,,30004,,,,0.197,,9.0,,1.0,0.1,,,,2,,,2444,,1,3,,,63.1,,,,,,,,,,,,,,,
2020-04-16,US,,,0,,,iso1:us,671514,34411,779187,3306663,,,,,,,,,,31573,,,,0.194,,8.9,,0.99,0.1,,,,2,,,2348,,1,3,,,62.3,,,,,,,,,,,,,,,
2020-04-17,US,,,0,,,iso1:us,703015,36699,813063,3470850,,,,,,,,,,31501,,,,0.188,,8.8,,0.99,0.1,,,,2,,,2288,,1,3,,,61.7,,,,,,,,,,,,,,,
2020-04-18,US,,,0,,,iso1:us,731404,38650,841848,3609046,,,,,,,,,,28389,,,,0.188,,8.7,,0.99,0.1,,,,2,,,1955,,1,3,,,60.7,,,,,,,,,,,,,,,
2020-04-19,US,,,0,,,iso1:us,756735,40170,864629,3720484,,,,,,,,,,25317,,,,0.183,,8.6,,0.98,0.1,,,,2,,,1539,,1,3,,,60.1,,,,,,,,,,,,,,,
2020-04-20,US,,,0,,,iso1:us,784126,42007,891145,3854077,,,,,,,,,,27391,,,,0.179,,8.7,,0.98,0.1,,,,2,,,1837,,1,3,,,60.6,,,,,,,,,,,,,,,
2020-04-21,US,,,0,,,iso1:us,809599,44679,925225,4040979,,,,,,,,,,25810,,,,0.173,,8.6,,0.98,0.1,,,,2,,,2672,,1,3,,,60.3,,,,,,,,,,,,,,,
2020-04-22,US,,,0,,,iso1:us,838371,47050,961529,4239750,,,,,,,,,,28772,,,,0.167,,8.6,,0.98,0.1,,,,2,,,2371,,1,3,,,60.0,,,,,,,,,,,,,,,
2020-04-23,US,,,0,,,iso1:us,872079,49219,997441,4436636,,,,,,,,,,33708,,,,0.162,,8.7,,0.98,0.1,,,,2,,,2173,,1,3,,,60.6,,,,,,,,,,,,,,,
2020-04-24,US,,,0,,,iso1:us,908801,51351,1036325,4656689,,,,,,,,,,35729,,,,0.158,,8.8,,0.97,0.1,,,,2,,,2017,,1,3,,,61.9,,,,,,,,,,,,,,,
2020-04-25,US,,,0,,,iso1:us,943207,53317,1068812,4842760,,,,,,,,,,33694,,,,0.155,,9.1,,0.97,0.1,,,,2,,,1968,,1,3,,,63.5,,,,,,,,,,,,,,,
2020-04-26,US,,,0,,,iso1:us,969940,54570,1095527,4987055,,,,,,,,,,26733,,,,0.154,,9.1,,0.97,0.1,,,,2,,,1253,,1,3,,,63.9,,,,,,,,,,,,,,,
2020-04-27,US,,,0,,,iso1:us,993021,56012,1127354,5180074,,,,,,,,,,23081,,,,0.151,,8.9,,0.96,0.1,,,,2,,,1442,,1,3,,,62.6,,,,,,,,,,,,,,,
2020-04-28,US,,,0,,,iso1:us,1017670,58406,1161499,5414759,,,,,,,,,,24649,,,,0.147,,8.9,,0.96,0.1,,,,2,,,2394,,1,3,,,62.3,,,,,,,,,,,,,,,
2020-04-29,US,,,0,,,iso1:us,1044221,60920,1201585,5667935,,,,,,,,,,26551,,,,0.144,,8.8,,0.95,0.1,,,,2,,,,,1,3,,,61.6,,,,,,,,,,,,,,,
2020-04-30,US,,,0,,,iso1:us,1074577,63130,1243494,5947710,,,,,,,,,,30356,,,,0.14,,8.7,,0.95,0.1,,,,2,,,2210,,1,3,,,60.6,,,,,,,,,,,,,,,
2020-05-01,US,,,0,,,iso1:us,1108547,64892,1286227,6239678,,,,,,,,,,32695,,,,0.136,,8.5,,0.95,0.1,,,,2,,,1762,,1,3,,,59.7,,,,,,,,,,,,,,,
2020-05-02,US,,,0,,,iso1:us,1138019,66475,1317296,6474715,,,,,,,,,,29472,,,,0.132,,8.3,,0.94,0.1,,,,2,,,1584,,1,3,,,58.4,,,,,,,,,,,,,,,
2020-05-03,US,,,0,,,iso1:us,1164158,67806,1341169,6657372,,,,,,,,,,26141,,,,0.128,,8.3,,0.94,0.1,,,,2,,,1331,,1,3,,,58.2,,,,,,,,,,,,,,,
2020-05-04,US,,,0,,,iso1:us,1186120,68895,1368156,6879942,,,,,,,,,,21962,,,,0.124,,8.3,,0.94,0.1,,,,2,,,1089,,1,3,,,57.9,,,,,,,,,,,,,,,
2020-05-05,US,,,0,,,iso1:us,1209827,71129,1403424,7162478,,,,,,,,,,23707,,,,0.122,,8.2,,0.94,0.1,,,,2,,,2234,,1,3,,,57.6,,,,,,,,,,,,,,,
2020-05-06,US,,,0,,,iso1:us,1234335,73837,1441656,7481770,,,,,,,,,,24508,,,,0.117,,8.1,,0.94,0.1,,,,2,,,,,1,3,,,57.0,,,,,,,,,,,,,,,
2020-05-07,US,,,0,,,iso1:us,1262809,75795,1478851,7805303,,,,,,,,,,28474,,,,0.112,,8.1,,0.94,0.1,,,,2,,,1958,,1,3,,,56.4,,,,,,,,,,,,,,,
2020-05-08,US,,,0,,,iso1:us,1290454,77370,1516952,8169533,,,,,,,,,,27645,,,,0.107,,7.8,,0.94,0.1,,,,2,,,1508,,1,3,,,54.9,,,,,,,,,,,,,,,
2020-05-09,US,,,0,,,iso1:us,1315322,78824,1546932,8472885,,,,,,,,,,24868,,,,0.103,,7.6,,0.94,0.1,,,,2,,,1454,,1,3,,,53.5,,,,,,,,,,,,,,,
2020-05-10,US,,,0,,,iso1:us,1335639,79755,1568842,8698990,,,,,,,,,,20317,,,,0.1,,7.4,,0.94,0.1,,,,1,,,931,,1,3,,,51.7,,,,,,,,,,,,,,,
2020-05-11,US,,,0,,,iso1:us,1353260,80736,1594882,8991962,,,,,,,,,,17621,,,,0.097,,7.2,,0.94,0.1,,,,1,,,981,,1,2,,,50.4,,,,,,,,,,,,,,,
2020-05-12,US,,,0,,,iso1:us,1375559,82388,1629489,9377809,,,,,,,,,,22299,,,,0.093,,7.1,,0.95,0.1,,,,1,,,1652,,1,2,,,50.0,,,,,,,,,,,,,,,
2020-05-13,US,,,0,,,iso1:us,1396704,84156,1666283,9787986,,,,,,,,,,21145,,,,0.089,,7.0,,0.95,0.1,,,,1,,,1768,,1,2,,,49.0,,,,,,,,,,,,,,,
2020-05-14,US,,,0,,,iso1:us,1423666,85894,1703326,10199214,,,,,,,,,,26962,,,,0.086,,6.9,,0.95,0.1,,,,1,,,1738,,1,2,,,48.5,,,,,,,,,,,,,,,
2020-05-15,US,,,0,,,iso1:us,1449901,87487,1739317,10605440,,,,,,,,,,26235,,,,0.084,,6.9,,0.96,0.1,,,,1,,,1593,,1,2,,,48.1,,,,,,,,,,,,,,,
2020-05-16,US,,,0,,,iso1:us,1473560,88712,1768285,10946172,,,,,,,,,,23659,,,,0.082,,6.8,,0.96,0.1,,,,1,,,1225,,1,2,,,47.7,,,,,,,,,,,,,,,
2020-05-17,US,,,0,,,iso1:us,1492574,89556,1794893,11221172,,,,,,,,,,19014,,,,0.082,,6.8,,0.96,0.1,,,,1,,,844,,1,2,,,47.3,,,,,,,,,,,,,,,
